
Wavelength,MNAT_00010.spu,MNAT_00011.spu,MNAT_00012.spu,MNAT_00013.spu,MNAT_00014.spu,MNAT_00015.spu,MNAT_00016.spu,MNAT_00017.spu,MNAT_00018.spu,MNAT_00019.spu,MNAT_00020.spu,MNAT_00021.spu,MNAT_00022.spu,MNAT_00023.spu,MNAT_00024.spu,MNAT_00025.spu,MNAT_00026.spu,MNAT_00027.spu,MNAT_00028.spu,MNAT_00029.spu,MNAT_00030.spu,MNAT_00031.spu,MNAT_00032.spu,MNAT_00033.spu,MNAT_00034.spu,MNAT_00035.spu,MNAT_00036.spu,MNAT_00037.spu,MNAT_00038.spu,MNAT_00039.spu,MNAT_00040.spu,MNAT_00041.spu,MNAT_00042.spu,MNAT_00043.spu,MNAT_00044.spu,MNAT_00045.spu,MNAT_00046.spu,MNAT_00047.spu,MNAT_00048.spu,MNAT_00049.spu,MNAT_00050.spu,MNAT_00051.spu,MNAT_00052.spu,MNAT_00053.spu,MNAT_00054.spu,MNAT_00055.spu,MNAT_00056.spu,MNAT_00057.spu,MNAT_00058.spu,MNAT_00059.spu,MNAT_00060.spu,MNAT_00061.spu,MNAT_00062.spu,MNAT_00063.spu,MNAT_00064.spu
  (nm),8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 
  time  ,18:34 PM,18:48 PM,19:00 PM,19:12 PM,19:25 PM,20:04 PM,20:17 PM,20:28 PM,20:41 PM,21:15 PM,22:01 PM,22:14 PM,22:25 PM,22:35 PM,22:45 PM,23:42 PM,23:57 PM,24:10 PM,24:22 PM,24:38 PM,24:54 PM,25:04 PM,25:16 PM,25:33 PM,25:45 PM,26:35 PM,26:46 PM,26:58 PM,27:10 PM,27:20 PM,28:08 PM,28:21 PM,28:31 PM,28:45 PM,28:59 PM,30:11 PM,30:23 PM,30:38 PM,30:53 PM,31:06 PM,31:27 PM,31:38 PM,31:48 PM,31:59 PM,32:11 PM,32:46 PM,32:55 PM,33:11 PM,33:26 PM,33:36 PM,34:45 PM,34:59 PM,35:11 PM,35:26 PM,35:36 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 311 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 312 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 313 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 314 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 315 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
